Place_Name,State_FIPS,Place_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Etowah CDP,37,21880,3721880,3339,92.9,3163,88.0
Eureka town,37,21960,3721960,73,82.0,68,76.4
Everetts town,37,22040,3722040,44,89.8,35,71.4
Evergreen CDP,37,22080,3722080,50,83.3,19,31.7
Fair Bluff town,37,22240,3722240,213,76.9,183,66.1
Fairfield CDP,37,22280,3722280,65,68.4,65,68.4
Fairfield Harbour CDP,37,22305,3722305,1295,97.6,1225,92.3
Fairmont town,37,22360,3722360,817,80.7,600,59.2
Fairplains CDP,37,22380,3722380,699,85.9,612,75.2
Fairview CDP,37,22440,3722440,825,88.0,745,79.5
Fairview town,37,22500,3722500,1178,88.4,1078,80.9
Faison town,37,22560,3722560,303,89.6,262,77.5
Faith town,37,22600,3722600,376,94.2,353,88.5
Falcon town,37,22620,3722620,53,94.6,56,100.0
Falkland town,37,22640,3722640,16,19.0,9,10.7
Fallston town,37,22720,3722720,263,81.2,245,75.6
Farmington CDP,37,22800,3722800,133,100.0,118,88.7
Farmville town,37,22820,3722820,1677,88.4,1589,83.7
Fayetteville city,37,22920,3722920,75131,91.4,70612,85.9
Fearrington Village CDP,37,22982,3722982,1476,97.9,1292,85.7
Eden city,37,20080,3720080,5263,81.3,4717,72.9
Five Points CDP,37,23520,3723520,384,93.7,372,90.7
Flat Rock village,37,23600,3723600,1568,98.3,1542,96.7
Flat Rock CDP,37,23640,3723640,334,69.7,209,43.6
Fletcher town,37,23760,3723760,3189,90.3,3052,86.4
Fontana Dam town,37,23980,3723980,19,100.0,19,100.0
Forest City town,37,24080,3724080,2392,83.8,2114,74.1
Forest Hills village,37,24170,3724170,116,60.4,108,56.3
Forest Oaks CDP,37,24198,3724198,1439,93.3,1398,90.6
Foscoe CDP,37,24380,3724380,643,88.0,643,88.0
Fountain town,37,24440,3724440,104,70.3,99,66.9
Four Oaks town,37,24520,3724520,770,88.1,567,64.9
Foxfire village,37,24570,3724570,664,95.3,650,93.3
Franklin town,37,24640,3724640,1412,76.4,1293,70.0
Franklinton town,37,24720,3724720,621,78.3,591,74.5
Franklinville town,37,24740,3724740,442,94.4,367,78.4
Havelock city,37,30120,3730120,5858,99.2,5414,91.7
Haw River town,37,30260,3730260,893,90.1,825,83.2
Hayesville town,37,30280,3730280,136,95.8,103,72.5
Hays CDP,37,30340,3730340,481,80.2,417,69.5
Hemby Bridge town,37,30620,3730620,642,96.8,610,92.0
Henderson city,37,30660,3730660,4821,80.4,4306,71.8
Hendersonville city,37,30720,3730720,6346,88.9,5694,79.8
Henrietta CDP,37,30800,3730800,105,61.8,63,37.1
Hertford town,37,30900,3730900,686,76.3,546,60.7
Hickory city,37,31060,3731060,15155,90.7,14004,83.8
Hiddenite CDP,37,31260,3731260,96,85.7,89,79.5
Highlands town,37,31360,3731360,557,93.3,527,88.3
High Point city,37,31400,3731400,39308,91.8,36590,85.4
High Shoals city,37,31440,3731440,292,79.3,267,72.6
Hightsville CDP,37,31490,3731490,182,94.8,159,82.8
Hildebran town,37,31500,3731500,582,78.9,541,73.3
Hillsborough town,37,31620,3731620,2707,89.8,2658,88.2
Hobgood town,37,31860,3731860,101,85.6,67,56.8
Hobucken CDP,37,31880,3731880,10,100.0,10,100.0
Hoffman town,37,31920,3731920,212,85.8,202,81.8
Holden Beach town,37,31960,3731960,456,97.2,434,92.5
Hollister CDP,37,32100,3732100,258,81.1,164,51.6
Holly Ridge town,37,32180,3732180,975,97.9,918,92.2
Holly Springs town,37,32260,3732260,11291,97.6,11125,96.1
Hookerton town,37,32540,3732540,189,84.0,149,66.2
Hoopers Creek CDP,37,32580,3732580,537,94.5,477,84.0
Hope Mills town,37,32640,3732640,5436,92.0,5260,89.0
Horse Shoe CDP,37,32740,3732740,765,93.2,715,87.1
Hot Springs town,37,32840,3732840,189,83.3,171,75.3
Hudson town,37,32980,3732980,1285,87.8,1190,81.3
Huntersville town,37,33120,3733120,20071,97.1,19463,94.2
Icard CDP,37,33320,3733320,823,89.7,686,74.8
